productname,productdescription,rating,sellerid,price,stock,image,category
"obat pembasmi pohon dan akar, racun pohon, starlon herbisida","Nufarm Starlon Herbisida Sistemik

Isi : 100 ml
Bahan aktif : triklopir butoksi etil ester 665 g/l (setara dengan triklopir 480 g/l)

Herbisida yang digunakan untuk membasmi kayu-kayuan seperti pohon sawit, karet, mangga ,jambu, bambu,rumput dan lainnya yang sudah tidak dimanfaatkan lagi / mengganggu. Anda dapat menggunakan herbisida ini untuk membunuh pohon tersebut secara perlahan karena bersifat sistemik dimana setelah diaplikasi kan maka pohon akan mati secara perlahan sampai dengan 1 bulan mati total (daun rontok dan batang pohon akan mengering dan layu)

Petunjuk penggunaan :
- larutkan 100 ml starlon dengan 1 liter solar kemudian buat lubang pada pohon / gores pohon sampai bertemu lapisan hijaunya (xilem) oleskan perlahan dengan campuran starlon
- bisa juga pohon disuntik dengan 10 ml larutan starlon pada kedalaman 10-15 cm dari diameter batang pohon
( cara suntik dan oles lebih efisien dalam penggunaan starlon dibandingkan disiram pada pohon )",4.9,she-basmi,"Rp38.000,00",96653,9a6345e2-6ae6-4a44-b7cd-042a0a0e6f8b.jpg.webp.jpg.jpg,Pestisida dan Obat tanaman
100ml Pestisida Organik Neem Oil /Minyak Mimba dari Biosfer Organik,"Takaran 1 sendok utk 1 liter larutan siap pakai . Walaupun takaran tertulis di botol 1 sendok utk 300ml. Tapi pestisida organik ini tetap ampuh membasmi hama. Mimin sudah coba sendiri.

PURE NEEM OIL dari BIOSFER ORGANIK 100% Dibuat dari ekstrak biji dan daun tanaman mimba, memiliki aroma yang khas, dan diolah dgn metode cold press.. sehingga tidak merusak zat2 aktif yg terkandung didalamnya. 

**Pestisida nabati yang mampu membasmi hama tanaman secara alami**

Apa itu NEEM OIL ?
Neem oil berasal dari biji tanaman mimba atau dikenal pula sebagai neem (Azadirachta indica). Minyak mimba dari Biosfer Organik adalah pestisida nabati organik yang mampu mengendalikan hama tanaman secara alami. Biji mimba mengandung 10% minyak yang di dalamnya terkandung zat azadirachtin sebanyak 1.25%. Zat azadirachtin inilah yang berperan sebagai pestisida/ fungisida/ anti-tungau yang sangat aktif dan terkuat. Cara kerja minyak mimba tidak langsung membunuh hama yang menyerang tanaman, namun mengubah fisiologi sehingga pertumbuhan dan perkembangan hama terhenti/rusak, menjadi mandul, ulat gagal bermetamorfosis, kurang nafsu makan, dan seterusnya hingga hama tidak bisa berkembang dan akhirnya mati.

Apa kelebihan NEEM OIL ?
	Aman bagi manusia dan lingkungan
	Mengandung zat azadirachtin untuk mengendalikan hama tanaman
	Aromanya dapat mengusir hama tanaman
	Dapat menggangu pola makan/perkembangbiakan hama secara hormonal

Setiap pembelian akan mendapakan :
1 kemasan neem oil berisi 100 ml

Cara Pengunaan :
1.	Larutkan 5-7 ml neem oil kedalam 1 liter air ditambah 1-2 tetes sabun cair sebagai pelarut
2.	Aduk secara merata
3.	Masukkan kedalam sprayer
4.	Semprotkan ke bagian tanaman yang terserang hama atau penyakit
5.	Ulangi 2 hari setelah penyemprotan pertama untuk pemberantasan larva hama

Sebagai pestisida nabati neem oil sangat direkomendasikan untuk pecinta tanaman, selain dapat mengendalikan hama dan membua",4.9,Panda Farm,"Rp25.500,00",91,d6c84881-2df0-4211-8d33-b452a62b3005.png.webp.jpg.jpg,Pestisida dan Obat tanaman
Antracol Fungisida-Obat Jamur Tanaman 70WP-250gr,"Isi : 250gr
Exp : 01/25

Antracol adalah fungisida yang memiliki kerja cepat dan telah diproduksi serta dipasarkan di Indonesia selama lebih dari 30 tahun. Antracol sangat cocok untuk mengontrol Phytophthora dan Alternaria untuk sayur-sayuran. Antracol adalah kegiatan residu yang sangat baik.

Hasil yang baik telah dicapai oleh Antracol diantaranya adalah untuk mengatasi penyakit leaf spot pada sayuran dan buah-buahan. Antracol dapat ditoleransi dengan baik oleh tanaman dalam konsentrasi tertentu. Tidak ada bahaya terbentuknya resistensi (multi-site) / dapat berguna dalam program anti-resistance untuk jenis patogen yang berbeda (downy mildew, Alternaria, scab dll).

Merupakan sumber zinc yang sangat baik bila terjadi kekurangan zinc pada banyak tanaman seperti kentang, tomat dan anggur.

Punya kompatibilitas phyto yang sangat baik untuk beragam tanaman, termasuk dalam tahap awal pertumbuhan tanaman.

Kelebihan Produk
>Bekerja efektif di segala musim (musim kering dan hujan)
>Cocok untuk diaplikasikan di dataran rendah atau tinggi
>Dapat diandalkan, telah menjadi pemimpin pasar selama 30 tahun
> Merupakan sumber elemen penting (zinc)
>Dapat ditoleransi oleh beragam tanaman, juga untuk tanaman yang usianya masih muda (dalam tahap awal pertumbuhan).

Cara Pemakaian :
Semprotkan semua bagian tanaman yang terserang jamur. pada tanaman yang berlapis lapisan lilin seperti bawang, Frekwensi penyemprotan ditentukan berat ringannya serangan jamur dan iklim.

Dosis = 1 - 2 gr per 1 liter air",4.9,benihkita,"Rp49.550,00",33,3603111_2f32cce9-11e1-4106-8c35-ce50f50f69f3_700_700.webp.jpg.jpg,Pestisida dan Obat tanaman
"DESTHIN obat hama tanaman, ulat, kutu putih, hama daun","kemasan 500ml

sudah menggunakan spray baru, dijamin anti macet.

botol rusak, bocor, spray rusak kita ganti baru free ongkir, sertakan video unboxing terimakasih.
review negatif, bintang 1/2 klaim ganti baru kita tolak. terimakasih

kemasan botol 1 liter klik link dibawah:
https://tokopedia.link/r4KwcGsqIib di toko she-basmi Rp65.000 di Tokopedia dengan Bebas Ongkir, Sekarang!

Beli ekstra bubble wrap tambahan 
https://tokopedia.link/mHkQokvmSfb di toko she-basmi Rp2.000 di Tokopedia dengan Bebas Ongkir, Sekarang!

Deskripsi Desthin adalah Insektisida/Obat Hama siap pakai yg Efektif membasmi hama pada tanaman dan juga mengandung Obat Anti Jamur yang sangat diperlukan untuk semua jenis tanaman terutama. Pada musim hujan. Jadi Desthin Obat Hama siap pakai yang sudah ada campuran Obat Anti Jamur didalam kandungannya.

pemakaian :
siram dahulu tanaman yang terkena hama kemudian semprotkan desthin ketanaman yang sehat dan terserang hama atau sakit, dilakukan seminggu 1-2x, lakukan disore hari.
untuk perawatan tanaman bisa sebulan 2x pemakaian",4.9,she-basmi,"Rp35.000,00",95969,e6dc4ec2-d4be-4565-b2db-8e51b1624dc2.jpg.webp.jpg.jpg,Pestisida dan Obat tanaman
"herbisida obat pembasmi rumput liar, gulma, alang2 - gross","Kemasan botol 500ml

botol rusak, bocor, spray rusak kita ganti baru free ongkir, sertakan video unboxing terimakasih.
review negatif, bintang 1/2 klaim ganti baru kita tolak. terimakasih

untuk kemasan Refill gross 1 liter klik link dibawah
https://tokopedia.link/xfabAwh9Eib di toko she-basmi Rp98.000 di Tokopedia dengan Bebas Ongkir, Sekarang!

Beli ekstra bubble wrap tambahan 
https://tokopedia.link/mHkQokvmSfb di toko she-basmi Rp2.000 di Tokopedia dengan Bebas Ongkir, Sekarang!

GROSS adalah pembasmi rumput liat,gulma, alang-alang, hama tanaman siap pakai (tidak perlu di campur) 

Cara pakai :
*Gunakan sarung tangan
*kocok sebelum digunakan
*Semprotkan secara merata 
*Simpan di tempat aman
*Cuci tangan setelah pemakaian

-Keunggulan GROSS :
*Sangat praktis tinggal pakai
* Sangat ampuh untuk membasmi segala jenis rumput
* Bekerja dengan sangat cepat membunuh rumput (48 jam rumput pasti kering)
* Dapat diaplikasikan dlaam segala cuaca baik hujan maupun kering
* Tidak mencemari tanah dan air yang berada di area penyemprotan

Fungsi GROSS :
- Mematikan rumput cukup banyak dan komplit
- Mampu mengendalikan anakan sawit liar, gulma berdaun lebar dan sempit, teki di lahan tanpa tanaman, hutan tanaman industri, tanaman perkebunan, tanaman pangan, padi, jagung, tanaman sayuran, anak kayu, pakis, hingga paku-pakuan yang mengganggu kebun atau pekarangan rumah.


PERHATIAN:
*Hindari terkena tanaman hias
*Jauhkan dari jangkauan anak2
*Simpan di tempat aman
*Jika terkena Kulit atau mata segera cuci dengan air mengalir

Terimakasih",4.9,she-basmi,"Rp35.000,00",95886,618a27c5-a666-4d96-91b0-29f7d74fcc11.jpg.webp.jpg.jpg,Pestisida dan Obat tanaman
Wortel Berastagi Baby Konvensional 500 gram Sayurbox,"Tersedia dalam pilihan konvensional dan imperfect. Wortel imperfect memiliki ukuran yang beragam, agak berlubang, bercabang 2-3, dan lebih kecil. Namun rasa dan nutrisinya tetap sama.

Wortel Brastagi baby adalah wortel brastagi muda. Sehingga rasanya lebih manis dan teksturnya lebih renyah. Wortel brastagi baby juga dapat dikonsumsi mentah.
Umur Simpan 5-7 hari

[SAYURBOX INFO] 
Jam Operasional Toko : 09.00 - 18.00 WIB 

Order di luar jam operasional toko, akan direspon pada jam 09.00 (di hari berikutnya) 
Hari Sabtu dan Minggu tetap beroperasional dan ada pengiriman 

Info Pengiriman 
1.Order yang masuk pukul 00.00 WIB - 19.00 WIB akan dikirimkan H+1 
2.Order yang masuk pukul 19.01 WIB - 23.59 WIB akan dikirimkan H+2 
3.Estimasi pengiriman pukul 11.00 WIB - 14.00 WIB 

Info Refund dan Retur (pengiriman kembali) Produk 
Di Sayurbox, kami selalu berusaha menjaga kualitas produk hasil pertanian yang kami sediakan untuk dikirim kepada konsumen kami. Namun, apabila Anda mengalami kendala dari produk yang Anda terima dari Sayurbox, mohon untuk mengklik 'KOMPLAIN PESANAN' agar dapat segera kami proses. 

Untuk klaim terkait dengan produk Sayurbox hanya untuk barang yang rusak akibat pengantaran atau terdapat barang yang tidak terkirim, maka dari itu kami memerlukan beberapa informasi berikut ini: 
1. Foto dari produk yang Anda terima dari Sayurbox sebagai bukti 
2. Proses pengembalian dana atau pengiriman kembali akan dilakukan sehari setelah solusi pada bagian komplain pesanan disetujui 
3. Tidak dikenanakan biaya kirim untuk pengiriman barang kembali 

Jika ada pertanyaan, silahkan menghubungi kami lewat pesan pribadi di akun Tokopedia Sayurbox ya SayurFriends. 
Thank you and happy shopping SayurFriends.",5.0,Sayurbox,"Rp14.000,00",103,035f3f8d-da29-4ac5-83f6-2a5ca02c9641.png.webp.jpg.jpg,Produk Pertanian Segar
selada keriting fresh,"Selamat Datang di Bakoel Sayur Online!
Penuhi kebutuhan dapur Anda dengan berbelanja di sini.
Belanja praktis, pesan hari ini besok langsung diantar!
Harga murah kualitas Premium!

DESKRIPSI PRODUK
Selada Keriting Fresh - HARGA PER @100gr

DESKRIPSI PENGIRIMAN - (PENTING!)
Pesanan hari ini 00:00 - 23:59 dikirim besok (H+1)

Start pengiriman setiap harinya pk. 08:00 (mengikuti antrian dan sistem pengantaran)

Kami merupakan supplier utama dari banyak restaurant terkemuka di Indonesia. Kini kami hadir melayani Anda via online di Marketplace kesayangan Anda. Kami menjamin kesegaran produk kami terutama Sayur dan Buah yang kami kirim setiap harinya, sehingga, sayur yang baru dipanen akan dikirim setiap harinya waktu dini hari. Setelah datang, kami bersihkan dan siapkan untuk dikirimkan ke pelanggan. Maka tertulis dalam DESKRIPSI PENGIRIMAN, keterangan waktu pemesanan dan pengiriman belanjaan Anda. Agar Sayur dan Buah yang Anda terima adalah yang terbaik dari kami.
Selamat Berbelanja dan Selamat Menikmati Sayur dan Buah segar dengan standar Restaurant dari kami!",4.9,Bakoel Sayur Online,"Rp4.800,00",35579,2492b60b-0d2a-40a4-a44d-64dd6c79db95.jpg.webp.jpg.jpg,Produk Pertanian Segar
Pisang (Banana) Cavendish (500gr) Sayurbox,"Pisang cavendish adalah pisang unggul dengan warna kulit kuning mulus. Teksturnya lembut dan rasanya manis. Pisang ini biasa dimakan langsung, dijadikan toping makanan, atau dikonsumsi bersama yoghurt dan oatmeal.
Pisang Cavendish RTE (ready to eat) adalah pisang siap untuk dikonsumsi tanpa perlu menunggu matang dan memiliki kulit kuning ada bercak hitam, berdaging putih, juga memiliki rasa manis yang lembut di mulut.
Umur Simpan 3-4 hari

[SAYURBOX INFO] 
Jam Operasional Toko : 09.00 - 18.00 WIB 

Order di luar jam operasional toko, akan direspon pada jam 09.00 (di hari berikutnya) 
Hari Sabtu dan Minggu tetap beroperasional dan ada pengiriman 

Info Pengiriman 
1.Order yang masuk pukul 00.00 WIB - 19.00 WIB akan dikirimkan H+1 
2.Order yang masuk pukul 19.01 WIB - 23.59 WIB akan dikirimkan H+2 
3.Estimasi pengiriman pukul 11.00 WIB - 14.00 WIB 

Info Refund dan Retur (pengiriman kembali) Produk 
Di Sayurbox, kami selalu berusaha menjaga kualitas produk hasil pertanian yang kami sediakan untuk dikirim kepada konsumen kami. Namun, apabila Anda mengalami kendala dari produk yang Anda terima dari Sayurbox, mohon untuk mengklik 'KOMPLAIN PESANAN' agar dapat segera kami proses. 

Untuk klaim terkait dengan produk Sayurbox hanya untuk barang yang rusak akibat pengantaran atau terdapat barang yang tidak terkirim, maka dari itu kami memerlukan beberapa informasi berikut ini: 
1. Foto dari produk yang Anda terima dari Sayurbox sebagai bukti 
2. Proses pengembalian dana atau pengiriman kembali akan dilakukan sehari setelah solusi pada bagian komplain pesanan disetujui 
3. Tidak dikenanakan biaya kirim untuk pengiriman barang kembali 

Jika ada pertanyaan, silahkan menghubungi kami lewat pesan pribadi di akun Tokopedia Sayurbox ya SayurFriends. 
Thank you and happy shopping SayurFriends.",4.9,Sayurbox,"Rp13.100,00",91,14d831e2-3fc1-4515-9065-e1f3b7c70770.png.webp.jpg.jpg,Produk Pertanian Segar
Pepaya California Sayurbox,"Tersedia dalam pilihan konvensional dan imperfect. Pepaya imperfect memiliki bercak di kulitnya dan dapat langsung dikonsumsi. Pepaya konvensional perlu ditunggu 2-3 hari agar matang sempurna.
Kulit pepaya california berwarna hijau mulus. Ukurannya pas untuk 1-2 orang. Rasanya manis, lezat, dan segar. Cocok untuk dimakan langsung,dijadikan camilan sehat, dibuat jus, atau dessert.
Umur Simpan 3-4 hari

[SAYURBOX INFO] 
Jam Operasional Toko : 09.00 - 18.00 WIB 

Order di luar jam operasional toko, akan direspon pada jam 09.00 (di hari berikutnya) 
Hari Sabtu dan Minggu tetap beroperasional dan ada pengiriman 

Info Pengiriman 
1.Order yang masuk pukul 00.00 WIB - 19.00 WIB akan dikirimkan H+1 
2.Order yang masuk pukul 19.01 WIB - 23.59 WIB akan dikirimkan H+2 
3.Estimasi pengiriman pukul 11.00 WIB - 14.00 WIB 

Info Refund dan Retur (pengiriman kembali) Produk 
Di Sayurbox, kami selalu berusaha menjaga kualitas produk hasil pertanian yang kami sediakan untuk dikirim kepada konsumen kami. Namun, apabila Anda mengalami kendala dari produk yang Anda terima dari Sayurbox, mohon untuk mengklik 'KOMPLAIN PESANAN' agar dapat segera kami proses. 

Untuk klaim terkait dengan produk Sayurbox hanya untuk barang yang rusak akibat pengantaran atau terdapat barang yang tidak terkirim, maka dari itu kami memerlukan beberapa informasi berikut ini: 
1. Foto dari produk yang Anda terima dari Sayurbox sebagai bukti 
2. Proses pengembalian dana atau pengiriman kembali akan dilakukan sehari setelah solusi pada bagian komplain pesanan disetujui 
3. Tidak dikenanakan biaya kirim untuk pengiriman barang kembali 

Jika ada pertanyaan, silahkan menghubungi kami lewat pesan pribadi di akun Tokopedia Sayurbox ya SayurFriends. 
Thank you and happy shopping SayurFriends.",4.8,Sayurbox,"Rp18.700,00",56,24352824_becc8246-2ee2-4796-8c98-4e205eec0f6f_500_500.webp.jpg.jpg,Produk Pertanian Segar
Mangga Harum Manis (1kg) Sayurbox,"Mangga akan maksimal matang pada hari ke-3 dan dapat dicek secara berkala. 


Sesuai namanya, Mangga Harum Manis memiliki aroma harum yang khas dengan rasa yang sangat manis ketika sudah matang sempurna. Cocok dibuat jus, dimakan sebagai camilan sehat, dibuat selai, atau kreasi lainnya.

Terdapat potensi kelebihan/kekurangan gramasi +-10% per pack.

[SAYURBOX INFO] 
Jam Operasional Toko : 09.00 - 18.00 WIB 

Order di luar jam operasional toko, akan direspon pada jam 09.00 (di hari berikutnya) 
Hari Sabtu dan Minggu tetap beroperasional dan ada pengiriman 

Info Pengiriman 
1.Order yang masuk pukul 00.00 WIB - 19.00 WIB akan dikirimkan H+1 
2.Order yang masuk pukul 19.01 WIB - 23.59 WIB akan dikirimkan H+2 
3.Estimasi pengiriman pukul 11.00 WIB - 14.00 WIB 

Info Refund dan Retur (pengiriman kembali) Produk 
Di Sayurbox, kami selalu berusaha menjaga kualitas produk hasil pertanian yang kami sediakan untuk dikirim kepada konsumen kami. Namun, apabila Anda mengalami kendala dari produk yang Anda terima dari Sayurbox, mohon untuk mengklik 'KOMPLAIN PESANAN' agar dapat segera kami proses. 

Untuk klaim terkait dengan produk Sayurbox hanya untuk barang yang rusak akibat pengantaran atau terdapat barang yang tidak terkirim, maka dari itu kami memerlukan beberapa informasi berikut ini: 
1. Foto dari produk yang Anda terima dari Sayurbox sebagai bukti 
2. Proses pengembalian dana atau pengiriman kembali akan dilakukan sehari setelah solusi pada bagian komplain pesanan disetujui 
3. Tidak dikenanakan biaya kirim untuk pengiriman barang kembali 

Jika ada pertanyaan, silahkan menghubungi kami lewat pesan pribadi di akun Tokopedia Sayurbox ya SayurFriends. 
Thank you and happy shopping SayurFriends.",4.7,Sayurbox,"Rp26.500,00",207,30610c94-ab35-4868-8b07-1ac37053f15c.jpg.webp.jpg.jpg,Produk Pertanian Segar
